"day","day_label","protocol_phase","expected_biological_state","evidence_class","confidence","protocol_event"
0,"D0","PSC / differentiation start","pluripotent PSC","observed bulk anchor","high","Start RA + BMP4 in UCM"
1,"D1","RA+BMP4 ectoderm induction","ectoderm induction","piecewise-linear interpolation","medium-low",""
2,"D2","RA+BMP4 ectoderm induction","ectoderm induction","piecewise-linear interpolation","medium-low",""
3,"D3","RA+BMP4 ectoderm induction","ectoderm induction","piecewise-linear interpolation","medium-low",""
4,"D4","RA+BMP4 ectoderm induction","surface ectoderm / epithelial induction","observed bulk anchor","high",""
5,"D5","RA+BMP4 passage","surface ectoderm / epithelial induction","protocol event; expression interpolated","medium","Passage 1:2; ROCK inhibitor 24 h"
6,"D6","UCM:N2 transition + RA/BMP4","surface ectoderm / epithelial induction","interpolated; cross-protocol scRNA support","medium-high","UCM:N2 = 1:1"
7,"D7","N2 + RA/BMP4","surface ectoderm / epithelial induction","observed bulk anchor","high","Switch completely to N2"
8,"D8","RA/BMP4 withdrawal; EGF start","surface ectoderm / epithelial induction","protocol event; expression interpolated","medium","Withdraw RA/BMP4; add EGF"
9,"D9","EGF keratinocyte progenitor induction","early keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
10,"D10","EGF keratinocyte progenitor induction","early keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
11,"D11","EGF keratinocyte progenitor induction","early keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
12,"D12","EGF keratinocyte progenitor induction","early keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
13,"D13","EGF keratinocyte progenitor induction","early keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
14,"D14","keratinocyte progenitor checkpoint / passage","keratinocyte progenitor","protocol event; expression interpolated","medium","Progenitor qPCR/IF checkpoint and passage"
15,"D15","EGF progenitor expansion","keratinocyte progenitor","observed bulk anchor","high","Remove ROCK inhibitor"
16,"D16","EGF progenitor expansion","keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
17,"D17","EGF progenitor expansion","keratinocyte progenitor","piecewise-linear interpolation","medium-low",""
18,"D18","EGF progenitor expansion","basal-like immature keratinocyte","piecewise-linear interpolation","medium-low",""
19,"D19","EGF progenitor expansion","basal-like immature keratinocyte","piecewise-linear interpolation","medium-low",""
20,"D20","EGF progenitor expansion","basal-like immature keratinocyte","piecewise-linear interpolation","medium-low",""
21,"D21","EGF progenitor expansion","basal-like immature keratinocyte","piecewise-linear interpolation","medium-low",""
22,"D22","EGF progenitor expansion","basal-like immature keratinocyte","piecewise-linear interpolation","medium-low",""
23,"D23","CaCl2 maturation start","calcium-responsive maturing keratinocyte","protocol event; expression interpolated","medium","Add 1.2 mM CaCl2"
24,"D24","CaCl2 keratinocyte maturation","calcium-responsive maturing keratinocyte","piecewise-linear interpolation","medium-low",""
25,"D25","CaCl2 keratinocyte maturation","calcium-responsive maturing keratinocyte","piecewise-linear interpolation","medium-low",""
26,"D26","CaCl2 keratinocyte maturation","calcium-responsive maturing keratinocyte","piecewise-linear interpolation","medium-low",""
27,"D27","CaCl2 keratinocyte maturation","calcium-responsive maturing keratinocyte","piecewise-linear interpolation","medium-low",""
28,"D28","CaCl2 keratinocyte maturation","calcium-responsive maturing keratinocyte","piecewise-linear interpolation","medium-low",""
29,"D29","CaCl2 keratinocyte maturation","calcium-responsive maturing keratinocyte","interpolated; cross-protocol scRNA support","medium-high",""
30,"D30","mature iKC checkpoint","immature/maturing iKC endpoint","observed bulk anchor","high","Mature-marker checkpoint"
31,"D31","post-D30 PSC-derived iKC maintenance; no public anchor","post-D30 PSC-derived keratinocyte-like state; unanchored","unanchored post-D30 carry-forward","low",""
32,"D32","post-D30 PSC-derived iKC maintenance; no public anchor","post-D30 PSC-derived keratinocyte-like state; unanchored","unanchored post-D30 carry-forward","low",""
33,"D33","post-D30 PSC-derived iKC maintenance; no public anchor","post-D30 PSC-derived keratinocyte-like state; unanchored","unanchored post-D30 carry-forward","low",""
34,"D34","post-D30 PSC-derived iKC maintenance; no public anchor","post-D30 PSC-derived keratinocyte-like state; unanchored","unanchored post-D30 carry-forward","low",""
35,"D35","post-D30 PSC-derived iKC maintenance; no public anchor","post-D30 PSC-derived keratinocyte-like state; unanchored","unanchored post-D30 carry-forward","low","Maintenance; no public PSC-derived Day-35 expression anchor"
